id;active;category_id;title;slug;headline;price;image;amount
2435978;1;23;Data Science - Język R dla początkujących;data-science-jezyk-r-dla-poczatkujacych;w sam raz na początek kariery w data science;239,99;https://img-a.udemycdn.com/course/480x270/2435978_892b.jpg?BxHDWq_H4iHrdBjK3bn_YY5I0ndGpfyWuao-YuwH_JgJUBG5ZzaKzwOfDqduF7B5ox1hGm7WoHvKJUDCHriH46s1mqaB0siulXx8Sg6ZpqShEW7eqWlyzuSt4Xgjsg;1000
1512940;1;23;Wystartuj z Data Science w Pythonie!;wystartuj-z-data-science-w-pythonie;Użyj Pythona aby jak najszybciej zaznajomić się z Data Science i Uczeniem Maszynowym;479,99;https://img-a.udemycdn.com/course/480x270/1512940_a02c.jpg?ukLPmOHLXnA0I72crS_9fFCznrkXtX-H6cbb4SHFchpZLLizCGH-x49JP186mWWNT1cTNlNcNQ2W8uEiWomWtBvSSqGrG3ezH9J69Bmvevb0PG70Cyl64_LdtAngoA;1000
2710402;1;23;Machine Learning Bootcamp w języku Python cz.II - od A do Z;machine-learning-bootcamp-w-jezyku-python-ii;Uczenie Maszynowe - Wejdź w świat uczenia nienadzorowanego i wykorzystaj przewagę uczenia maszynowego na rynku!;69,99;https://img-a.udemycdn.com/course/480x270/2710402_0ca8_4.jpg?h1dUmGpnbcZa9WsnErVnaveBsVycgBjIUExegSddxQ5XXcp8QUlTT2czgju5VYKxkeihuQNnftDgo6hLHLlWRMt6peGcUsnrvffjbWQSK2dcf6nbX7H6XcJfcTVR4MMU;1000
2697570;1;23;Machine Learning Bootcamp w języku Python cz.I - od A do Z;machine-learning-bootcamp-w-jezyku-python;Uczenie Maszynowe - Wejdź w świat uczenia nadzorowanego i wykorzystaj przewagę uczenia maszynowego na rynku!;69,99;https://img-b.udemycdn.com/course/480x270/2697570_d816_4.jpg?secure=Y6-IFfzPrMunPifYb9wT7g%3D%3D%2C1607868521;1000
2690192;1;23;Data Science Bootcamp w języku Python - od A do Z - 2020;data-science-bootcamp-python;Wejdź w świat data science i otwórz sobie drogę do zawodu przyszłości - data scientist!;69,99;https://img-b.udemycdn.com/course/480x270/2690192_a75a_4.jpg?secure=JCEcNq9iq1v3YRwO0msVSQ%3D%3D%2C1607881542;1000
2453042;1;23;Deep Learning w języku Python - Konwolucyjne Sieci Neuronowe;deep-learning-w-jezyku-python;Zrób krok w stronę sieci neuronowych dzięki bibliotece Keras!;69,99;https://img-a.udemycdn.com/course/480x270/2453042_f011.jpg?Nbims2DBmXJnI_rJ2dou1dLVB7VI0445LxBhAI4aF9nSQe9u_ih8jJgETesNTJe0mLPBzraZ_OY7juXnOmd2_Y5wFv-p43nG3ZKSB9zXMaDjGr6BNcaebtnl9Y3Hag;1000
2644340;1;23;Wprowadzenie do sieci neuronowych - Tensorflow 2.0  Keras;wprowadzenie-tensorflow-keras;Naucz się budować sieci neuronowe w języku Python wykorzystując najnowocześniejsze rozwiązania!;69,99;https://img-a.udemycdn.com/course/480x270/2644340_7418_2.jpg?e-gjY-qd1cKJpJuHZaUs8GTDgzUzPwSOafhP5bqymB7ApWbefgm2D6JoPiI17Y7iFj-dAOzpmD0uGDa2ikPoGByHCYD05EWOWgpG1QcjjEwK641_vpzGddwcfJF748Ag;1000
3511674;1;23;130 Ćwiczeń w języku Python - Data Science - Pandas;cwiczenia-jezyk-python-data-science-pandas;Podnieś poziom swoich umiejętności programowania w języku Python oraz data science i rozwiąż ponad 130 ćwiczeń w Pandas!;69,99;https://img-a.udemycdn.com/course/480x270/3511674_0959.jpg?0d6Hb-uSxdWggoD5HqtOi9jLd-qOWWNRyYFSJ86MABKautOKOq88ziBcq1VOS-bzLVS5tn1MPXkNeLxOUnMPYyCxJmLC8eDhrPX6-SjURUir8lhrhBa5hPnK4islOw;1000
3511668;1;23;120 Ćwiczeń w języku Python - Data Science - NumPy;python-data-science-numpy-cwiczenia;Podnieś poziom swoich umiejętności programowania w języku Python oraz data science i rozwiąż ponad 120 ćwiczeń w NumPy!;69,99;https://img-a.udemycdn.com/course/480x270/3511668_ceb8.jpg?kIbz9-y-qYxGZlvf-YMG2gb1MOzAWJ7hzJ5LHWFdlfyIRFO-VnUutYXkWmCv5JJbEcoqbKTN3a1BKUWbhk_38Cwqiap-WzN8YG77_RA7OtwAV8ebsX4xqHcd4-uvfQ;1000
2658330;1;23;Uczenie maszynowe w Pythonie. Podstawy perceptron regresja;machine-learning-w-pythonie-101;Machine Learning już się dzieje i będzie się dziać dalej. Warto je poznać!;299,99;https://img-a.udemycdn.com/course/480x270/2658330_5c1e.jpg?yU_wqJYShNbqBLRvMpZMagSgVqgejc4s1mf2DgOuuTB_BrCY5CpsDP38YZYt0hEFepg3KIR1S8eurDpKkYbQdBt1qHzkir2NPq558c9mLVQkdzD4oe3sXCf9rpyqfA;1000
1588828;1;23;Uczenie maszynowe od podstaw z Azure ML Studio (classic);uczenie-maszynowe-od-podstaw-z-azure-machine-learning-studio;Zrób pierwszy krok w kierunku najbardziej poszukiwanego zawodu XXI wieku;379,99;https://img-b.udemycdn.com/course/480x270/1588828_8457.jpg?secure=vQbkAgxFu5_GySIetgRybA%3D%3D%2C1607868521;1000
3305834;1;23;Machine Learning Bootcamp w języku Python cz.III - Ćwiczenia;machine-learning-bootcamp-w-jezyku-python-cwiczenia;Podnieś poziom swoich umiejętności programowania w języku Python i rozwiąż ponad 100 zadań z uczenia maszynowego!;69,99;https://img-a.udemycdn.com/course/480x270/3305834_64d2_2.jpg?8eFjoPWHzpcdzxt5kTqnaZN2awQ4GJJEs20gXSuzOCDS__1-Kqy_ippmxpA_96VrO0vBFVokC0fKytM9EEAvPSiGuXdhREG5smp7K98UlPR4G6l4b9PmCvIOsCOZor-L;1000
2327746;1;24;1 - MsSQL Server - Solidne Podstawy;andrzej-smigielski-mssql-server-solidne-podstawy;25 lekcji  17 gotowych skryptów SQL z moimi komentarzami i wskazówkami aby bez problemu zrozumieć wszystkie bloki kodu;239,99;https://img-a.udemycdn.com/course/480x270/2327746_450c_5.jpg?jGdm_Hb7s2oZA-swMj-sWgwLOBnWkoR8dXQtWOpqfiHsacXEqn4TVdbsAvjX4-Gk5ChjPFhN-4JIrDuIUnGWNgaao9eaqP9Qt-W7jb5w7OnPEp0RKC_WER9Fa-juzrTo;1000
3355786;1;24;Praktyczna Administracja PostgreSQL;praktyczne-podstawy-administracji-postgresql;Zarządzanie bazą danych PostgreSQL w pigułce - zostań Administratorem Bazy Danych - administracja Postgres bez tajemnic!;279,99;https://img-a.udemycdn.com/course/480x270/3355786_45a8_5.jpg?cz7W1gV8mkBPu70p_veuiAdHLnfo8Jwl14PQkg32hPnKK7w8XbsSQpSq722lncqBQd_VtBR1ihPypBo7ueQbAkuBMIsuLSSw887uRO6AxWtAx6Z9cvsTtjk1IyPDmMlw;1000
